ligand,protein,pdb_id,docking_mode,box_center_x,box_center_y,box_center_z,box_size,best_affinity_kcalmol,pose_2,pose_3,n_poses,status
BPA,CRY2,CRY2_4MLP,blind,42.64348577235771,63.07227642276422,88.43271341463414,30.0,-7.417,-6.982,-6.971,5,OK
BPS,CRY2,CRY2_4MLP,blind,42.64348577235771,63.07227642276422,88.43271341463414,30.0,-7.27,-7.25,-6.824,5,OK
PFOS,CRY2,CRY2_4MLP,blind,42.64348577235771,63.07227642276422,88.43271341463414,30.0,-8.485,-8.477,-8.436,5,OK
PFOA,CRY2,CRY2_4MLP,blind,42.64348577235771,63.07227642276422,88.43271341463414,30.0,-7.996,-7.83,-7.781,5,OK
GenX,CRY2,CRY2_4MLP,blind,42.64348577235771,63.07227642276422,88.43271341463414,30.0,-6.477,-6.315,-5.947,5,OK
TDCIPP,CRY2,CRY2_4MLP,blind,42.64348577235771,63.07227642276422,88.43271341463414,30.0,-6.006,-5.476,-5.448,5,OK
TCEP,CRY2,CRY2_4MLP,blind,42.64348577235771,63.07227642276422,88.43271341463414,30.0,-5.087,-4.953,-4.785,5,OK
Cypermethrin,CRY2,CRY2_4MLP,blind,42.64348577235771,63.07227642276422,88.43271341463414,30.0,-10.01,-9.807,-9.517,5,OK
Chlorpyrifos,CRY2,CRY2_4MLP,blind,42.64348577235771,63.07227642276422,88.43271341463414,30.0,-6.157,-5.981,-5.837,5,OK
Melatonin,CRY2,CRY2_4MLP,blind,42.64348577235771,63.07227642276422,88.43271341463414,30.0,-7.427,-7.317,-7.025,5,OK
