ligand,protein,pdb_id,uniprot,receptor_chain,receptor_atom_count,docking_mode,box_center_x,box_center_y,box_center_z,box_size,box_note,ligand_pdbqt,receptor_pdbqt,status,best_affinity_kcalmol,pose_2,pose_3,n_poses,pose_file,log_file
PFOS,CSNK1D,5OKT,P48730,A,4586,9XK_ATP_pocket_redock,-0.5204193548387095,9.641290322580645,-14.52077419354839,24.755000000000003,5OKT chain A 9XK crystallographic inhibitor pocket; ligand span 12.8 A,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\data\ligands\PFOS.pdbqt,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\receptor\CSNK1D_5OKT_chainA.pdbqt,OK,-9.397,-9.289,-9.228,5,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\vina_poses\PFOS_CSNK1D_5OKT_chainA.pdbqt,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\vina_poses\PFOS_CSNK1D_5OKT_chainA.log
Cypermethrin,CSNK1D,5OKT,P48730,A,4586,9XK_ATP_pocket_redock,-0.5204193548387095,9.641290322580645,-14.52077419354839,24.755000000000003,5OKT chain A 9XK crystallographic inhibitor pocket; ligand span 12.8 A,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\data\ligands\Cypermethrin.pdbqt,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\receptor\CSNK1D_5OKT_chainA.pdbqt,OK,-8.775,-8.718,-8.533,5,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\vina_poses\Cypermethrin_CSNK1D_5OKT_chainA.pdbqt,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\vina_poses\Cypermethrin_CSNK1D_5OKT_chainA.log
PFOA,CSNK1D,5OKT,P48730,A,4586,9XK_ATP_pocket_redock,-0.5204193548387095,9.641290322580645,-14.52077419354839,24.755000000000003,5OKT chain A 9XK crystallographic inhibitor pocket; ligand span 12.8 A,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\data\ligands\PFOA.pdbqt,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\receptor\CSNK1D_5OKT_chainA.pdbqt,OK,-8.765,-8.29,-8.2,5,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\vina_poses\PFOA_CSNK1D_5OKT_chainA.pdbqt,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\vina_poses\PFOA_CSNK1D_5OKT_chainA.log
Melatonin,CSNK1D,5OKT,P48730,A,4586,9XK_ATP_pocket_redock,-0.5204193548387095,9.641290322580645,-14.52077419354839,24.755000000000003,5OKT chain A 9XK crystallographic inhibitor pocket; ligand span 12.8 A,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\data\ligands\Melatonin.pdbqt,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\receptor\CSNK1D_5OKT_chainA.pdbqt,OK,-7.972,-7.828,-7.784,5,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\vina_poses\Melatonin_CSNK1D_5OKT_chainA.pdbqt,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\vina_poses\Melatonin_CSNK1D_5OKT_chainA.log
BPA,CSNK1D,5OKT,P48730,A,4586,9XK_ATP_pocket_redock,-0.5204193548387095,9.641290322580645,-14.52077419354839,24.755000000000003,5OKT chain A 9XK crystallographic inhibitor pocket; ligand span 12.8 A,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\data\ligands\BPA.pdbqt,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\receptor\CSNK1D_5OKT_chainA.pdbqt,OK,-7.65,-7.615,-7.441,5,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\vina_poses\BPA_CSNK1D_5OKT_chainA.pdbqt,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\vina_poses\BPA_CSNK1D_5OKT_chainA.log
BPS,CSNK1D,5OKT,P48730,A,4586,9XK_ATP_pocket_redock,-0.5204193548387095,9.641290322580645,-14.52077419354839,24.755000000000003,5OKT chain A 9XK crystallographic inhibitor pocket; ligand span 12.8 A,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\data\ligands\BPS.pdbqt,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\receptor\CSNK1D_5OKT_chainA.pdbqt,OK,-6.95,-6.949,-6.889,5,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\vina_poses\BPS_CSNK1D_5OKT_chainA.pdbqt,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\vina_poses\BPS_CSNK1D_5OKT_chainA.log
GenX,CSNK1D,5OKT,P48730,A,4586,9XK_ATP_pocket_redock,-0.5204193548387095,9.641290322580645,-14.52077419354839,24.755000000000003,5OKT chain A 9XK crystallographic inhibitor pocket; ligand span 12.8 A,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\data\ligands\GenX.pdbqt,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\receptor\CSNK1D_5OKT_chainA.pdbqt,OK,-6.745,-6.731,,2,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\vina_poses\GenX_CSNK1D_5OKT_chainA.pdbqt,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\vina_poses\GenX_CSNK1D_5OKT_chainA.log
Chlorpyrifos,CSNK1D,5OKT,P48730,A,4586,9XK_ATP_pocket_redock,-0.5204193548387095,9.641290322580645,-14.52077419354839,24.755000000000003,5OKT chain A 9XK crystallographic inhibitor pocket; ligand span 12.8 A,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\data\ligands\Chlorpyrifos.pdbqt,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\receptor\CSNK1D_5OKT_chainA.pdbqt,OK,-6.639,-6.237,-6.037,5,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\vina_poses\Chlorpyrifos_CSNK1D_5OKT_chainA.pdbqt,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\vina_poses\Chlorpyrifos_CSNK1D_5OKT_chainA.log
TDCIPP,CSNK1D,5OKT,P48730,A,4586,9XK_ATP_pocket_redock,-0.5204193548387095,9.641290322580645,-14.52077419354839,24.755000000000003,5OKT chain A 9XK crystallographic inhibitor pocket; ligand span 12.8 A,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\data\ligands\TDCIPP.pdbqt,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\receptor\CSNK1D_5OKT_chainA.pdbqt,OK,-5.46,-5.203,-5.176,5,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\vina_poses\TDCIPP_CSNK1D_5OKT_chainA.pdbqt,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\vina_poses\TDCIPP_CSNK1D_5OKT_chainA.log
TCEP,CSNK1D,5OKT,P48730,A,4586,9XK_ATP_pocket_redock,-0.5204193548387095,9.641290322580645,-14.52077419354839,24.755000000000003,5OKT chain A 9XK crystallographic inhibitor pocket; ligand span 12.8 A,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\data\ligands\TCEP.pdbqt,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\receptor\CSNK1D_5OKT_chainA.pdbqt,OK,-4.516,-4.253,-4.232,5,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\vina_poses\TCEP_CSNK1D_5OKT_chainA.pdbqt,F:\SHENGXIN\环境蓝海\项目_Chronotoxicology_污染物昼夜节律\output\docking\redock_csnk1d_verified_5OKT\vina_poses\TCEP_CSNK1D_5OKT_chainA.log
