model_set,outcome,is_primary,beta,se,ci_lo,ci_hi,p_value,I2_descriptive,tau2,n_G,n_H,fdr_within_tier
core_on_questionnaire_complete_cases,IS,FALSE,-0.010802709144978167,0.0032077988238864196,-0.01708999483979555,-0.004515423450160785,7.58147357348894e-4,0,0,1327,1403,0.0022744420720466818
core_on_questionnaire_complete_cases,IV,TRUE,-0.005530928296050736,0.003550393123098492,-0.01248969881732378,0.0014278422252223082,0.1192722582901079,0,0,1327,1403,0.2385445165802158
core_on_questionnaire_complete_cases,L5,FALSE,0.9338325915144794,1.242405348973087,-1.5012818924727713,3.36894707550173,0.4522719222017581,0,0,1327,1403,0.6784078833026371
core_on_questionnaire_complete_cases,M10,FALSE,1.205859495319139,4.194288095642415,-7.014945172139994,9.426664162778271,0.7737291975106515,0,0,1327,1403,0.7737291975106515
core_on_questionnaire_complete_cases,RA,TRUE,-0.0025036143864993607,0.002477234841468099,-0.0073589946757768344,0.002351765902778113,0.31218455682845864,0,0,1327,1403,0.31218455682845864
phq9_adjusted,IS,FALSE,-0.011714663062637052,0.003355236143477699,-0.018290925903853342,-0.0051384002214207615,4.803936019034515e-4,0,0,1209,1307,0.0014411808057103546
phq9_adjusted,IV,TRUE,-0.003366960233531415,0.004319782017351437,-0.011833732987540231,0.005099812520477401,0.43572747500763376,0.7783110431904366,3.211221295133305e-7,1209,1307,0.43572747500763376
phq9_adjusted,L5,FALSE,0.8189000413452913,1.1547517482666037,-1.4444133852572518,3.0822134679478346,0.4782271854517197,0,0,1209,1307,0.7173407781775796
phq9_adjusted,M10,FALSE,1.335346188658069,4.265692287488319,-7.025410694819036,9.696103072135173,0.7542478014684184,0,0,1209,1307,0.7542478014684184
phq9_adjusted,RA,TRUE,-0.002091749744652118,0.0021904594807107573,-0.0063850503268452026,0.0022015508375409663,0.33960980211218594,0,0,1209,1307,0.43572747500763376
phq9_sleep_adjusted,IS,FALSE,-0.011283539117376616,0.0032352974832642344,-0.017624722184574514,-0.004942356050178716,4.873114985409057e-4,0,0,1205,1301,0.0014619344956227171
phq9_sleep_adjusted,IV,TRUE,-0.004131335910673511,0.004618422653221226,-0.013183444310987114,0.004920772489640092,0.37103626746528945,14.919921746221663,6.907263411431015e-6,1205,1301,0.43303862489151357
phq9_sleep_adjusted,L5,FALSE,0.5225907233351281,1.0756433092162883,-1.5856701627287968,2.630851609399053,0.6270804942040423,0,0,1205,1301,0.7188847616889564
phq9_sleep_adjusted,M10,FALSE,1.5392924432785657,4.276410048564631,-6.84247125190811,9.921056138465241,0.7188847616889564,0,0,1205,1301,0.7188847616889564
phq9_sleep_adjusted,RA,TRUE,-0.001688510327929825,0.002153705198737215,-0.005909772517454767,0.0025327518615951166,0.43303862489151357,0,0,1205,1301,0.43303862489151357
