analyte,n_total,n_detected,detection_rate,detection_class
BPA,2594,2338,0.9013107170393215,high
PFOA,2177,2168,0.9958658704639411,high
PFOS,2177,2170,0.9967845659163987,high
PFHxS,2177,2147,0.9862195682131374,high
PFNA,2177,2163,0.9935691318327974,high
PFDA,2177,1893,0.8695452457510335,high
PFUnDA,2177,1461,0.6711070280202113,high
PFDoDA,2177,452,0.20762517225539734,low_binary
PFBS,2177,296,0.13596692696371154,low_binary
PFHpA,2177,656,0.3013321084060634,low_binary
PFOSA,2177,288,0.1322921451538815,low_binary
MeFOSAA,2177,1300,0.5971520440973818,high
EtFOSAA,2177,370,0.16995865870463941,low_binary
